perno,address,dateFrom,dateTo,postcode,long,lat
1010,"7 Hammond lane, Naomiland, N9 8ZE",2005-03-15,2016-07-06 00:00:00,N9 8ZE,,
1011,"3 Brenda causeway, East Maxstad, IV7R 9TF",2017-12-04,,IV7R 9TF,,
1012,"Flat 12u, Caroline fork, Lake Kathrynfurt, CO5R 4EL",2012-11-07,,CO5R 4EL,,
1013,"639 Newton port, North Owen, G32 1LY",2008-09-04,,G32 1LY,-4.1833,55.85
1014,"419 Mellor islands, Lawrencebury, SO5H 4PR",2007-05-27,,SO5H 4PR,,
1015,"153 Gilbert crescent, New Alex, W5 5PA",2005-09-10,,W5 5PA,-0.2851888888888889,51.513
1015,"35 Frederick orchard, South Abbie, L08 3BF",2007-08-20,,L08 3BF,,
1016,"354 Kirsty parkway, Port Lee, W49 3NP",2011-04-29,,W49 3NP,,
1017,"09 Glen common, South Abdulchester, N96 5BS",2008-02-18,,N96 5BS,,
1018,"Flat 4, Beth viaduct, Jacobville, M6H 2HR",2012-09-04,,M6H 2HR,,
1019,"Flat 3, Samuel courts, New Maxmouth, W1W 7HL",2004-12-23,,W1W 7HL,-0.1257,51.5085
1019,"04 Louise inlet, Holmesborough, CM7N 1LP",2016-02-10,,CM7N 1LP,,
102,"Flat 1, Luke center, North Rhys, MK8 1BX",2010-12-28,2013-03-27 00:00:00,MK8 1BX,-0.8028,52.0338
1020,"97 Nicholls unions, Wendyland, S7C 6SW",2010-03-06,2020-07-18 00:00:00,S7C 6SW,,
1020,"3 Leonard courts, New Maxville, M0 1NA",2010-05-11,,M0 1NA,,
1020,"Flat 13S, Lynda track, South Annettetown, G5 8QX",2017-03-07,,G5 8QX,-4.2576,55.8651
1021,"269 Campbell river, Lake Jamieberg, B38 0YL",2014-07-26,2012-04-09 00:00:00,B38 0YL,-1.9349,52.3999
1022,"4 Pope stream, Lake Scott, WA2 0LF",2012-12-05,,WA2 0LF,-2.581033333333333,53.4044
1023,"421 Mitchell courts, New Katherine, CT5 2ZX",2009-02-03,,CT5 2ZX,1.0400142857142858,51.3467
1024,"8 Green plains, Robsonfurt, DT47 5WN",2005-05-08,,DT47 5WN,,
1025,"Studio 98, Susan via, West Justinmouth, CH0 7XF",2014-07-09,,CH0 7XF,,
1026,"Flat 2, Lee route, New Maria, M8B 4ZT",2004-06-16,,M8B 4ZT,,
1026,"418 Graham forks, Katehaven, S3D 2BF",2008-01-23,2018-09-02 00:00:00,S3D 2BF,,
1026,"Flat 05, Sheppard overpass, Port Josephfurt, SY6M 5SU",2015-07-06,,SY6M 5SU,,
1027,"Flat 21n, Clark islands, West Kim, E95 4PH",2013-12-06,,E95 4PH,,
1028,"52 Shannon neck, East Annaview, SW45 8FZ",2011-10-17,2020-11-10 00:00:00,SW45 8FZ,,
1029,"Studio 33, Davison bridge, Lake Robin, L2 5AJ",2005-03-09,,L2 5AJ,-2.9779,53.4106
103,"479 Robin hills, Jeremyville, CV22 8AB",2010-04-24,,CV22 8AB,-1.2838,52.35
103,"4 Robinson cove, East Lesley, SG27 5WL",2017-01-01,,SG27 5WL,,
103,"97 Hannah parkway, Danielborough, CV38 7GG",2017-02-03,,CV38 7GG,,
1030,"Studio 73, Denis spurs, Sarahhaven, WR95 0AW",2007-02-24,,WR95 0AW,,
1030,"8 Glen squares, West Stevenhaven, RM9 7NF",2020-08-07,,RM9 7NF,0.129,51.5529
1031,"95 Phillip club, Georginaview, KA7M 0GL",2006-04-10,2021-12-01 00:00:00,KA7M 0GL,,
1031,"Flat 5, Jason way, Hughesstad, IV5 8FT",2018-06-11,,IV5 8FT,-4.4132,57.4766
1032,"Studio 3, Chloe road, Abbottburgh, LS77 9QG",2005-11-09,2009-12-15 00:00:00,LS77 9QG,,
1033,"306 Dorothy oval, Bentleyshire, SK7 1BJ",2009-03-02,,SK7 1BJ,-2.1496,53.3333
1033,"050 Dickinson plaza, Dianestad, W26 7DE",2015-04-15,,W26 7DE,,
1034,"1 Alan park, Charlieton, N7 3FP",2008-07-19,,N7 3FP,-0.1205142857142857,51.5524
1034,"46 Arthur key, North Carolyn, NP04 3WX",2018-03-29,,NP04 3WX,,
1035,"072 Derek viaduct, Port Deborah, L6E 0JE",2018-12-10,,L6E 0JE,,
1036,"Studio 55Q, Williams green, West Brian, GY2 0QQ",2005-03-20,,GY2 0QQ,-2.5429,49.4838
1036,"Flat 6, Reynolds walk, Murraymouth, SE4Y 8PE",2015-06-17,,SE4Y 8PE,,
1037,"30 Bennett mountain, Millerview, M7 3TZ",2018-09-05,,M7 3TZ,-2.2623,53.5056
1038,"076 Rosie fields, East Clifford, W1 8HJ",2007-11-25,,W1 8HJ,-0.0986428571428571,51.4822
1039,"7 Timothy turnpike, Lynnefort, M5D 3TX",2006-04-05,2010-07-15 00:00:00,M5D 3TX,,
104,"150 Evans way, Stephanieside, B9 2TN",2010-08-02,,B9 2TN,-1.8506,52.4783
1040,"Studio 34, Sara islands, Lake Gail, G7A 4ZB",2012-01-22,,G7A 4ZB,,
1041,"85 Jones shoals, South Joanne, N0U 3EP",2015-03-24,,N0U 3EP,,
1041,"Studio 10X, Steven views, Darrenmouth, G25 0PJ",2019-11-30,,G25 0PJ,,
1042,"8 Sean village, East Patrickport, S44 2DX",2017-09-10,2014-02-13 00:00:00,S44 2DX,-1.3153875000000002,53.207
1043,"Flat 58l, Phillips ville, East Chloeland, W7 1PQ",2007-09-15,,W7 1PQ,-0.3358999999999999,51.5118
1044,"Flat 8, Samantha mews, North Anthony, M7B 6TP",2012-10-12,,M7B 6TP,,
1045,"Studio 73J, Richardson lane, Annettehaven, G2A 0TT",2016-05-08,,G2A 0TT,,
1045,"Flat 24, Grace drives, North Janeshire, B08 3UX",2016-10-13,,B08 3UX,,
1046,"Studio 46, Norman fields, Johnsonview, M35 7RP",2012-01-11,,M35 7RP,-2.1657,53.5048
1047,"57 Brenda spring, Bowenville, M8 1PX",2010-12-29,2008-12-10 00:00:00,M8 1PX,-2.2385,53.4986
1048,"4 Shaw course, Marshallhaven, N7E 9BD",2020-08-26,2017-09-16 00:00:00,N7E 9BD,,
1049,"Flat 3, Payne view, Joneschester, W1E 9BH",2005-10-27,,W1E 9BH,,
1049,"Flat 92, Riley bridge, Smithchester, LA7 6FJ",2011-03-30,2020-02-13 00:00:00,LA7 6FJ,-2.7612125,54.2532
105,"4 Taylor islands, East Kathryn, W0H 7TX",2008-03-28,,W0H 7TX,,
1050,"99 Carl crest, Leonardhaven, HG7E 0HD",2006-03-31,,HG7E 0HD,,
1051,"882 Claire trafficway, South Bethanyside, SM8 3HD",2015-05-21,,SM8 3HD,,
1052,"Flat 47, Dorothy orchard, Lake Francescafurt, AB76 2ZE",2020-03-02,,AB76 2ZE,,
1053,"11 Richard springs, West Martyn, NW6V 0GF",2005-04-11,2018-07-27 00:00:00,NW6V 0GF,,
1054,"0 Jones station, Alexanderberg, W01 7UT",2004-02-02,,W01 7UT,,
1054,"6 Hill way, Lake Julia, M1T 9HR",2021-02-17,,M1T 9HR,,
1055,"Flat 91T, Tracy walk, North William, DL3 7LY",2013-07-02,,DL3 7LY,-1.5504,54.5243
1055,"Flat 3, Gerard forks, North Amyberg, WD7 1TD",2015-12-21,,WD7 1TD,-0.3046999999999999,51.6859
1056,"Studio 52a, Webster ville, Francesfort, SM45 2SY",2012-05-02,,SM45 2SY,,
1057,"794 Lynn pass, Grayfort, W37 0ZP",2007-05-04,,W37 0ZP,,
1057,"6 Warren freeway, Lake Jamieville, GY3W 5PU",2020-10-20,,GY3W 5PU,,
1058,"245 Kim pike, East Glenn, AB0 9RN",2011-07-31,,AB0 9RN,,
1059,"Studio 24f, Cross vista, East Aaronberg, TS0X 7ES",2011-02-15,,TS0X 7ES,,
106,"6 Tina crossroad, Annettechester, SY0 4NX",2016-09-14,,SY0 4NX,,
1060,"Flat 82, Yates crescent, Jordanchester, W0 6EG",2018-01-24,,W0 6EG,,
1061,"54 Hughes spring, Millsmouth, KT29 9WS",2004-02-05,,KT29 9WS,,
1062,"Studio 86, Karl isle, New Brianmouth, W6E 1AE",2017-02-15,,W6E 1AE,,
1063,"761 Hill land, Natalieborough, DN4 1RU",2010-12-27,,DN4 1RU,-1.1821,53.497
1063,"Studio 13H, Bethan drive, Cooperburgh, NW98 7YR",2014-12-18,,NW98 7YR,,
1063,"9 Roberts turnpike, North Lisaberg, CO1R 3SW",2020-01-18,2021-01-10 00:00:00,CO1R 3SW,,
1064,"Flat 22m, Harrison track, Curtisberg, W7 3DX",2020-10-09,,W7 3DX,-0.3358999999999999,51.5118
1065,"7 Henry walks, Port Jessicafort, IM80 8EZ",2021-06-09,,IM80 8EZ,,
1066,"Studio 25, Shannon manor, Elaineville, BN73 6FG",2019-09-10,,BN73 6FG,,
1067,"6 Buckley village, Garnerhaven, SO4Y 7NH",2004-03-29,,SO4Y 7NH,,
1067,"Studio 47, Marian mews, Bethanytown, IP9 2WT",2011-05-31,2021-09-09 00:00:00,IP9 2WT,1.16570625,52.0077
1068,"Flat 36c, Barry turnpike, East Vincentland, M1U 6HL",2019-09-17,,M1U 6HL,,
1069,"7 Williams expressway, Damianton, G3K 6SA",2009-09-25,,G3K 6SA,,
107,"60 Thomas ferry, Lake Annfort, IM4R 7PP",2019-01-09,,IM4R 7PP,,
1070,"Studio 3, Melissa forges, Jamesmouth, RG6A 8UQ",2007-07-06,,RG6A 8UQ,,
1070,"7 Jade mission, West Claire, B2 9PW",2014-12-19,,B2 9PW,-1.8998,52.4814
1070,"Studio 28, Wright plaza, Jacksonbury, SY7 7TY",2015-09-09,,SY7 7TY,-2.832714864864865,52.4454
1071,"3 Callum fields, Clareport, CA1H 9LB",2011-04-06,,CA1H 9LB,,
1072,"70 Allen dam, East Guyview, TF6 9GX",2007-11-29,,TF6 9GX,-2.551514814814815,52.7891
1073,"Studio 1, Sarah drive, Paulland, HG7 0HP",2012-02-25,2017-09-30 00:00:00,HG7 0HP,,
1074,"Studio 42n, Heather points, West Marionchester, M9E 0JS",2014-11-12,,M9E 0JS,,
1074,"Flat 2, Smith divide, Marianview, S6 5TJ",2017-10-10,2016-06-29 00:00:00,S6 5TJ,-1.5452,53.3931
1074,"29 Lawrence well, Lake Anthonymouth, DA2N 0ZA",2020-05-05,,DA2N 0ZA,,
1075,"Studio 13U, Watts village, Lake Naomistad, E3H 7DT",2017-10-31,2017-05-05 00:00:00,E3H 7DT,,
1076,"Flat 83, Matthews junctions, Lake Emma, PL5 3DW",2018-08-22,,PL5 3DW,-4.16135,50.4
1077,"Flat 07, Taylor plains, Port Rhysberg, PH2N 0WX",2011-07-10,,PH2N 0WX,,
1078,"Studio 0, Parry islands, Scottchester, IG77 9LS",2018-10-12,,IG77 9LS,,
1079,"Studio 7, Lauren port, Hillburgh, LE07 2YR",2011-10-29,,LE07 2YR,,
108,"063 Gregory gateway, South Keithfurt, S7 5SR",2006-04-02,,S7 5SR,-1.4907,53.355
1080,"912 Kayleigh dale, New Lynne, JE9R 1LU",2015-01-23,,JE9R 1LU,,
1081,"Flat 61, Melanie rapids, Lake Stanley, CF79 5HB",2008-09-09,2017-01-01 00:00:00,CF79 5HB,,
1082,"Studio 0, Ward port, Davieston, W9B 6AS",2006-08-24,2017-02-03 00:00:00,W9B 6AS,,
1083,"6 Paul place, North Shane, FY6 5NY",2016-11-11,,FY6 5NY,-2.97395,53.8667
1084,"53 Shannon greens, Port Kelly, NR9W 4WU",2013-03-12,,NR9W 4WU,,
1085,"Flat 88x, Frost divide, Lake Leanne, W8 3RJ",2008-03-23,,W8 3RJ,-0.1985,51.501
1086,"Flat 1, Wells forges, Smithville, L1 7UR",2016-04-24,,L1 7UR,-2.9779,53.4106
1087,"Studio 0, Smith green, South Melanieton, E40 8SR",2015-02-01,,E40 8SR,,
1087,"Studio 3, Watson expressway, Beverleyberg, L4C 2UL",2015-11-12,,L4C 2UL,,
1087,"437 Joshua roads, Harrisport, DY24 4QW",2019-04-05,,DY24 4QW,,
1088,"03 Stuart oval, South Rosemary, SY57 2WF",2015-09-03,,SY57 2WF,,
1089,"Studio 12, Day underpass, North Samuelton, SM7P 8WL",2009-01-05,,SM7P 8WL,,
1089,"Flat 6, Douglas hills, North Callumfurt, LA74 6BG",2011-12-02,2010-01-14 00:00:00,LA74 6BG,,
109,"331 Morris orchard, Elizabethburgh, B3S 4AT",2015-01-21,,B3S 4AT,,
1090,"142 Dawn points, Albertton, TN9 9RB",2005-04-10,,TN9 9RB,0.2753,51.1924
1090,"Flat 25, Wright points, West Normanport, E29 7HY",2016-03-18,,E29 7HY,,
1090,"189 Wallace fall, Bryanhaven, RM9A 4ED",2017-10-21,2014-11-30 00:00:00,RM9A 4ED,,
1091,"6 Gilbert throughway, East Olivermouth, N8 8YL",2006-03-18,,N8 8YL,-0.1158333333333333,51.5825
1091,"5 Beverley corner, East Maria, JE47 5RG",2006-12-28,,JE47 5RG,,
1092,"Studio 39x, James tunnel, Swiftbury, SE41 1DN",2014-03-31,,SE41 1DN,,
1093,"Studio 52, Sandra spur, Lake Gordonton, NP7 2EJ",2015-09-24,,NP7 2EJ,-3.0386236842105263,51.8426
1094,"852 Allen cliffs, Declanmouth, EC2A 1WP",2021-06-29,2019-10-01 00:00:00,EC2A 1WP,-0.0877,51.5237
1095,"Flat 32, Dixon lake, Damianmouth, W7 1UQ",2005-12-06,,W7 1UQ,-0.3358999999999999,51.5118
1096,"3 Jodie fort, East Josephine, W1 2DH",2005-05-01,2015-11-13 00:00:00,W1 2DH,-0.0986428571428571,51.4822
1096,"3 Donna parks, New Frederickport, NW6P 1AJ",2020-06-15,,NW6P 1AJ,,
1096,"Studio 66, Denise brook, North Jeanview, M3 1JX",2020-11-08,2010-11-16 00:00:00,M3 1JX,-2.2374,53.4809
1097,"886 Nicholas square, Mooreland, W4 5WD",2009-11-17,2017-08-14 00:00:00,W4 5WD,-0.258,51.4927
1098,"84 Rogers shores, Herbertchester, B0C 8FL",2012-08-03,,B0C 8FL,,
1099,"129 Burrows cliffs, Graymouth, LE1N 4RG",2006-12-01,2020-09-24 00:00:00,LE1N 4RG,,
11,"88 Jones station, Ellieport, BH7A 6AJ",2020-01-12,,BH7A 6AJ,,
110,"Studio 91f, Johnson view, Nicholsonshire, E4J 6RP",2017-02-23,,E4J 6RP,,
1100,"090 Lee meadow, New Billy, DY9P 6NW",2020-02-25,,DY9P 6NW,,
1100,"Studio 4, Tracey mount, Newtonville, M9 7XA",2020-11-11,,M9 7XA,,
1101,"Flat 68, Frederick overpass, Colinchester, YO1 0EY",2004-03-02,2017-03-09 00:00:00,YO1 0EY,-1.0827857142857142,53.9586
1102,"Studio 48, Robinson shores, Hammondmouth, HG5 2QD",2008-10-17,2020-08-28 00:00:00,HG5 2QD,-1.4480000000000002,54.0133
1103,"Flat 12, Carl cape, Carlstad, TW53 5HY",2008-12-15,,TW53 5HY,,
1104,"57 Khan wells, Alichester, G8 3WB",2021-10-17,,G8 3WB,,
1105,"Flat 57, Toby neck, Cliffordside, LD2P 2XD",2014-08-15,,LD2P 2XD,,
1106,"60 Jones forges, West Lynne, OL60 2DQ",2018-10-28,2012-06-11 00:00:00,OL60 2DQ,,
1107,"551 Smith ports, Lake Nathan, CM2A 0SP",2021-05-05,,CM2A 0SP,,
1108,"Studio 74B, Chloe courts, North Geraldton, L6 8TW",2011-02-01,,L6 8TW,-2.9779,53.4106
1109,"25 Pauline junctions, Annetteburgh, W5 5WR",2019-09-09,,W5 5WR,-0.2851888888888889,51.513
111,"Studio 56, Williams garden, South Stuart, HS9V 2YL",2010-05-06,2014-11-09 00:00:00,HS9V 2YL,,
1110,"Flat 20l, Richardson overpass, Alexandramouth, NP03 5SU",2005-09-22,,NP03 5SU,,
1111,"Flat 72D, Shah pike, Jasonshire, BD3E 5DJ",2006-04-26,,BD3E 5DJ,,
1111,"Studio 1, Stevenson green, East Sarahhaven, BL41 3UG",2010-02-06,,BL41 3UG,,
1111,"917 Webster fields, North Ritahaven, PO7H 1LU",2020-02-26,,PO7H 1LU,,
1112,"Studio 92D, Shannon crossing, Antonyview, SS3A 2YR",2016-10-31,,SS3A 2YR,,
1113,"Flat 54, Andrea manor, North Patriciaburgh, DA41 8ZU",2020-08-03,2021-06-04 00:00:00,DA41 8ZU,,
1114,"11 Aaron lane, Lake Stephentown, G7 5HB",2021-03-03,,G7 5HB,,
1115,"Studio 81r, Lowe spur, New Brianbury, NN4X 2DY",2013-12-04,,NN4X 2DY,,
1116,"Studio 88, Fisher curve, Dennisborough, L5H 7WN",2007-06-04,2017-08-19 00:00:00,L5H 7WN,,
1116,"239 Clark course, New Robertfort, LE6 5HZ",2014-12-04,,LE6 5HZ,-1.2326666666666666,52.6878
1117,"Flat 00, Martin walks, Ahmedfort, NW49 1DY",2010-03-25,,NW49 1DY,,
1118,"8 Marie route, New Ashleighport, B23 1AW",2005-09-30,,B23 1AW,-1.8549,52.5282
1118,"418 Rogers knoll, Owenburgh, S8 9BG",2011-11-04,,S8 9BG,-1.47815,53.3405
1119,"Flat 77, Thompson springs, New Williamland, CB4X 8FR",2020-03-30,2018-08-31 00:00:00,CB4X 8FR,,
1119,"02 Ashleigh drive, Armstrongland, G8K 3UP",2021-07-28,,G8K 3UP,,
112,"Studio 54L, Amanda dam, South Carlville, B8 1QP",2004-11-19,,B8 1QP,-1.8596,52.4916
112,"9 Thorpe common, North Jessica, HP3H 3DY",2010-01-14,,HP3H 3DY,,
1120,"Flat 3, Marilyn underpass, North Abbie, AL58 6GD",2011-12-27,,AL58 6GD,,
1121,"Flat 27, Mohammed ways, North Tina, YO0R 8PE",2014-06-19,,YO0R 8PE,,
1122,"538 Gavin grove, North Edwardmouth, RG05 2TF",2021-06-25,,RG05 2TF,,
1123,"Studio 25, Cross run, New Vincent, PO35 0ZU",2011-03-18,,PO35 0ZU,-1.0828,50.6863
1123,"67 Wyatt crescent, North Elliottport, B13 3GU",2016-04-26,,B13 3GU,-1.88385,52.4371
1124,"Flat 7, Russell skyway, Kylestad, B6A 3LE",2018-06-25,,B6A 3LE,,
1125,"557 Parsons roads, Dayville, G3 2AJ",2016-12-02,,G3 2AJ,-4.2576,55.8651
1125,"Flat 8, Frances manor, New Hilaryview, E27 3QX",2019-08-01,2009-12-12 00:00:00,E27 3QX,,
1126,"Studio 27, Leigh field, North Martin, S89 2EA",2016-07-30,2017-09-19 00:00:00,S89 2EA,,
1127,"Studio 0, Baldwin motorway, Cookfurt, N1A 2PF",2012-04-05,,N1A 2PF,,
1128,"44 Iain knolls, Zoechester, MK0X 0UX",2008-08-27,,MK0X 0UX,,
1128,"Flat 49, Paula bypass, Port Rosemary, E2G 3FQ",2009-09-28,,E2G 3FQ,,
1128,"Flat 43, Burrows ridges, Johnsonland, N8 3BD",2016-11-02,,N8 3BD,-0.1158333333333333,51.5825
1129,"Studio 80A, Price port, Andreamouth, LE7 9RX",2018-11-11,,LE7 9RX,-1.009715,52.7092
113,"705 Stephens loaf, Lawrenceton, NP9 5UD",2010-02-09,,NP9 5UD,,
1130,"Flat 22, Mason branch, New Maryview, HX8 3BL",2017-11-18,,HX8 3BL,,
1131,"214 Roger coves, Port Antony, M0U 9LW",2009-06-22,2019-09-06 00:00:00,M0U 9LW,,
1132,"52 Morris inlet, Lake Mathew, SO6B 0PP",2011-02-06,,SO6B 0PP,,
1133,"847 Page lake, South Joannefort, E03 8BQ",2015-07-26,,E03 8BQ,,
1134,"Studio 29U, White route, West Carolineburgh, TR7R 7JF",2019-02-11,,TR7R 7JF,,
1135,"Studio 67, Lorraine crossing, Woodbury, CA78 1EB",2014-06-25,,CA78 1EB,,
1136,"5 Katherine estates, South Lorraine, NE3 2PS",2011-06-26,,NE3 2PS,-1.6339,55.0063
1137,"22 Elliot pass, Begumtown, L0F 1XT",2003-12-26,,L0F 1XT,,
1137,"Studio 58, Tina radial, Hazelchester, M1C 6TW",2013-04-10,,M1C 6TW,,
1138,"Studio 1, Davey streets, Matthewfurt, OX1 0RS",2006-03-11,,OX1 0RS,-1.275,51.7158
1138,"22 Davies route, New Douglasbury, BH4Y 3FP",2015-06-19,,BH4Y 3FP,,
1138,"27 Lauren club, New Ricky, E7 4YA",2021-08-07,,E7 4YA,0.026475,51.5472
1139,"875 Barrett plain, New Chloe, PE09 9NS",2017-01-15,,PE09 9NS,,
1139,"725 Emma ways, Stephensonburgh, E1K 0JJ",2020-10-04,,E1K 0JJ,,
114,"679 Barton spring, Bellmouth, LA6B 0SR",2006-11-23,,LA6B 0SR,,
1140,"Studio 74e, Jamie junctions, Williamsburgh, PL8 7FA",2012-08-22,,PL8 7FA,-4.005183333333334,50.3372
1141,"Studio 29, Samantha neck, Hallmouth, E8B 2SW",2015-08-23,,E8B 2SW,,
1141,"6 Murphy glens, South Stuartfurt, W34 2BN",2017-01-10,,W34 2BN,,
1142,"1 Todd mission, Jonesside, OL2 3ZH",2007-10-15,,OL2 3ZH,-2.103,53.5667
1142,"80 Gavin trail, West Iainfurt, S1H 9LW",2016-04-24,,S1H 9LW,,
1142,"340 Jeremy mountains, North Nicole, L2K 9LS",2020-09-19,,L2K 9LS,,
1143,"2 Boyle station, Port Benjaminport, SE8E 3AN",2020-04-25,,SE8E 3AN,,
1143,"Studio 32, Miller forges, Stevensport, N3 3YG",2021-01-31,,N3 3YG,-0.1943,51.6004
1144,"Studio 85W, Browne skyway, Oliviafurt, SW5 4DP",2018-06-30,,SW5 4DP,-0.1909999999999999,51.487
1145,"988 Gray fields, Lucymouth, DA1X 2EN",2009-07-28,,DA1X 2EN,,
1145,"8 Stevens mill, New Barbara, WS68 9BA",2012-05-09,,WS68 9BA,,
1146,"Studio 99u, Denise viaduct, New Richard, L8 6LX",2008-11-09,,L8 6LX,-2.9779,53.4106
1147,"879 James throughway, Tinaville, L68 5QW",2009-09-06,,L68 5QW,-2.9607,53.4731
1147,"218 Clarke islands, Port Carole, N5K 8GW",2009-10-25,,N5K 8GW,,
1148,"63 Shannon centers, Jackview, WV0A 7HX",2004-06-23,,WV0A 7HX,,
1149,"Flat 16, Taylor passage, New Lauren, E9A 3UL",2013-10-23,,E9A 3UL,,
115,"9 Alexander heights, Lake Jeffreyland, E4E 0FH",2014-09-16,2014-04-26 00:00:00,E4E 0FH,,
115,"Studio 23, Hunt ports, East Billyborough, BH46 0DY",2014-11-30,2015-12-31 00:00:00,BH46 0DY,,
1150,"Flat 1, Yvonne throughway, Maxchester, SS6A 6BB",2006-03-14,,SS6A 6BB,,
1151,"Studio 5, Carly land, Garethshire, HA3Y 9FN",2014-07-13,,HA3Y 9FN,,
1152,"0 Pearson manors, Patelshire, S3B 3PA",2007-12-23,,S3B 3PA,,
1153,"Studio 2, Cook mountains, North Alicebury, E2J 1UR",2008-09-09,,E2J 1UR,,
1154,"025 Lynda orchard, North Mitchellview, DH88 3NW",2011-01-23,,DH88 3NW,,
1155,"Flat 4, Elaine curve, Hayesshire, W8U 6WN",2012-05-16,,W8U 6WN,,
1155,"1 Maureen circles, North Glenn, WV1 7XQ",2020-11-05,,WV1 7XQ,-2.11545,52.5855
1156,"06 Page valleys, Phillipside, E52 3AD",2017-12-30,,E52 3AD,,
1157,"386 Amanda alley, Michaelstad, TR5 2HE",2017-08-16,2017-10-08 00:00:00,TR5 2HE,-5.1974,50.3106
1158,"Studio 4, Joyce spurs, Georginaville, G1E 5GR",2004-09-15,,G1E 5GR,,
1158,"62 Wood square, Coatesfurt, PE26 5SG",2011-11-14,,PE26 5SG,-0.1162,52.4536
1158,"687 Jacqueline tunnel, Louiseberg, S8W 3FA",2017-06-29,,S8W 3FA,,
1159,"999 Shirley springs, East Amyfurt, NN60 9RE",2012-03-10,2016-05-06 00:00:00,NN60 9RE,,
1159,"Studio 5, Elizabeth ranch, West Ambertown, L6C 6TJ",2021-08-13,,L6C 6TJ,,
116,"3 Davis terrace, South Pamela, E3B 8PY",2004-05-20,,E3B 8PY,,
1160,"Studio 41, Lindsey inlet, Jemmaberg, CO0 8NP",2014-09-27,,CO0 8NP,,
1161,"464 Evans spring, East Lynn, L69 4UH",2014-04-14,,L69 4UH,-2.9746,53.4069
1162,"Flat 3, Elliott ford, East Vincent, W89 3XS",2006-08-30,,W89 3XS,,
1163,"Flat 8, Tony mission, Port Marilyntown, W7 4YB",2018-07-19,,W7 4YB,-0.3358999999999999,51.5118
1164,"3 Rose inlet, East Kieran, W28 6RL",2012-07-02,,W28 6RL,,
1165,"72 Sally knoll, East James, LS4 6UB",2020-04-21,,LS4 6UB,-1.5846,53.8103
1165,"Studio 7, Lowe ways, New Charlottefurt, L85 7UB",2021-08-04,,L85 7UB,,
1166,"Studio 7, Smith pines, Carolefort, W50 6TW",2012-02-28,,W50 6TW,,
1167,"068 Lesley mission, Lake Michael, PA4W 4SG",2016-09-13,,PA4W 4SG,,
1168,"232 Begum roads, Farmermouth, EH36 2GE",2008-05-02,,EH36 2GE,-2.8654,55.8547
1168,"510 Melissa vista, Port Iain, E88 0HU",2019-08-05,,E88 0HU,,
1169,"93 Skinner roads, Carterville, N0 9UQ",2016-11-12,,N0 9UQ,,
117,"Flat 4, Lane center, Youngton, ZE1 1HA",2006-09-14,2018-08-20 00:00:00,ZE1 1HA,-1.2131857142857143,60.1545
1170,"Studio 25d, Jean common, Clarkefurt, L5 8LP",2010-02-05,,L5 8LP,-2.9779,53.4106
1171,"72 Gardner isle, South Elliot, WR1M 6XT",2015-02-27,,WR1M 6XT,,
