pernos,initials,sex,address,postcode,mobNumber,homeNumber,workNumber,marketing,goneAway,value
13,EQ,2,"01 Beth ports, East Rita, N1 6QF",N1 6QF,+44114 4960679,+44131 4960784,01164960628,yes,0,710.0
14,MP,0,"Flat 17f, Zoe fort, East Katy, M65 3TU",M65 3TU,+44(0)115 4960384,+44(0)306 999 0705,0161 4960461,yes,0,249982.48328460898
15,KA,1,"075 Angela shoal, North Paulville, BH6 3LS",BH6 3LS,(0151) 4960858,(0909) 8790343,+44(0)1144960294,yes,0,710.0
16,DZ,0,"5 Hutchinson junction, Port Brenda, M0 1AH",M0 1AH,0909 8790004,+44(0)1214960884,0909 879 0555,no,0,31147.43007513643
17,CO,2,"Flat 56, Melissa junction, Joelfurt, G2 2AY",G2 2AY,+44(0)2074960890,+44(0)191 4960508,0131 4960006,yes,0,29629.227957550796
18,BF,2,"Studio 5, Stacey center, Port Brandon, N4E 1DB",N4E 1DB,(0116)4960462,+44(0)20 74960406,+441632 960 662,no,0,710.0
19,LY,1,"Flat 9, Baker fall, Townsendborough, TQ1P 8GP",TQ1P 8GP,020 74960124,+44151 4960251,+441314960794,yes,0,20164.079576576136
20,VM,0,"3 Melissa curve, New Garethberg, LD2E 4PX",LD2E 4PX,+44191 496 0184,+44(0)141 496 0652,+441164960282,no,0,57473.178847411735
21,WY,2,"1 Judith plain, Iainbury, N2J 5PU",N2J 5PU,+44(0)118 4960142,+44191 4960386,+44(0)808 157 0573,yes,0,182311.7528160899
22,EA,0,"38 White summit, West George, IP4P 0DT",IP4P 0DT,01632 960965,+44(0)116 496 0250,+44117 4960636,yes,0,31332.467330075815
23,GJ,1,"250 Lynne ridge, New Abigailchester, BR9A 6XP",BR9A 6XP,(028) 9018746,0808 157 0383,+448081570487,no,1,104109.87343760736
24,VC,1,"Studio 65d, Samantha isle, Teresashire, DT4 8TJ",DT4 8TJ,0289018936,+441414960912,(0909)8790830,no,0,710.0
25,WH,0,"0 Valerie mountains, Thomsonburgh, E10 8TR",E10 8TR,+4429 2018 0920,(0808) 1570897,+44(0)8081570881,yes,0,190101.6937793285
26,II,2,"64 Abdul plains, Jameshaven, NN3 2SS",NN3 2SS,+44(0)114 496 0620,+44306 9990437,(0141)4960315,no,0,30527.698509603197
27,YE,2,"Flat 96, Conor grove, Leonport, W2 3QZ",W2 3QZ,+44(0)1632 960386,+44141 496 0075,+44114 496 0995,yes,0,127760.54869492204
28,JR,2,"Studio 02R, Faulkner route, Louisstad, G9G 3US",G9G 3US,+44(0)909 879 0435,0161 496 0196,0191 4960769,yes,0,24336.548229804986
29,US,0,"2 Davis views, East Lyndastad, G6F 4BT",G6F 4BT,+4429 2018114,0113 496 0393,0113 4960266,yes,0,32468.448707084448
30,PN,0,"Studio 1, Short villages, Janetchester, M73 3HF",M73 3HF,(0115) 496 0330,+441632960389,+44131 4960024,no,1,33047.826729967164
31,FA,2,"34 Garner pike, Port Vincent, SM7 3FS",SM7 3FS,+44(0)909 8790680,+44(0)28 9018 0747,+44289018489,no,0,243064.74216597556
32,WJ,2,"398 Cameron dam, New Joelbury, S0 6TB",S0 6TB,+44(0)3069990666,+441314960147,+44115 4960571,yes,0,32393.379094520114
33,OL,1,"413 Robin skyway, North Jonathan, LL79 4TZ",LL79 4TZ,(0118) 496 0079,029 2018547,0116 4960051,no,0,710.0
34,CL,2,"26 Taylor ports, Reedport, N1 3LB",N1 3LB,0118 496 0126,01614960741,+44118 496 0183,no,0,33632.49049041507
35,JR,0,"234 Gerard forest, Port Lauraberg, E0 2EF",E0 2EF,0292018029,+4420 74960558,02074960879,no,0,31680.60427060746
36,TT,0,"Flat 56n, Louise junctions, Deniseberg, GU5H 3QH",GU5H 3QH,+44(0)1914960791,+441514960888,+44(0)29 2018 0125,no,0,137610.30865148254
37,GD,0,"Flat 14, Richardson passage, Wendyville, HG2E 0ND",HG2E 0ND,0115 4960968,(0114) 496 0354,08081570505,yes,0,122930.71477065308
38,MB,1,"61 Perkins falls, Christophertown, ST4V 0JJ",ST4V 0JJ,0306 999 0749,+441632 960 451,+44115 4960204,no,0,29549.438244280598
39,NV,0,"80 Brown valleys, South Ronald, L7C 3SN",L7C 3SN,+44121 4960945,(0121) 496 0017,(0131) 496 0159,yes,0,127481.07294864336
40,UN,0,"Studio 3, Oliver lock, Walkerview, KT5N 9TR",KT5N 9TR,01514960903,(0118) 4960437,+44(0)161 4960756,yes,0,31757.551296065754
41,ZZ,1,"62 Max terrace, Kingland, MK5 6AH",MK5 6AH,+44(0)1214960777,(0131) 4960195,(0808) 157 0482,yes,1,260685.27957802266
42,DH,2,"Flat 02o, Michelle prairie, Port Timothy, HU21 4TL",HU21 4TL,0117 4960478,(0115) 4960230,+44(0)1214960661,no,0,710.0
43,VK,2,"Studio 51, Jay creek, Ritaland, S7F 7GX",S7F 7GX,(0909) 879 0488,+44121 496 0025,+441184960736,yes,0,231432.03659868022
44,QN,0,"Studio 7, Mason ports, North Jacobburgh, N82 7QB",N82 7QB,08081570830,+44141 496 0810,0114 496 0487,no,1,710.0
45,IO,1,"6 Lord highway, Stewarthaven, L1U 8HB",L1U 8HB,01184960515,01184960253,+44(0)1632 960 967,yes,0,710.0
46,VJ,1,"70 Lydia center, North Valerie, DN1 4ZH",DN1 4ZH,+44118 4960200,(0141) 4960235,(028) 9018 0544,yes,0,247298.7015234954
47,DL,2,"Studio 70D, Deborah crest, Leeside, B28 0YU",B28 0YU,+441154960611,+44115 496 0362,01314960826,yes,0,31290.172537529117
48,IT,0,"25 Samuel mill, Lake Jenna, DY55 1SY",DY55 1SY,0808 157 0961,0117 496 0698,0115 496 0288,no,0,710.0
49,GK,0,"25 Donald bypass, New Frankborough, E9F 5DZ",E9F 5DZ,0117 4960644,+44(0)8081570274,0117 496 0410,yes,0,64435.3091387279
50,RJ,0,"23 Marcus shoals, North Paigechester, TF9 9ZY",TF9 9ZY,(020) 74960206,+44(0)116 4960169,+44(0)131 4960645,no,0,31273.86220615449
51,YQ,1,"19 Christian turnpike, Lawrenceberg, S8 7QB",S8 7QB,0191 4960478,(029) 2018824,+44(0)116 496 0824,yes,0,710.0
52,KV,1,"Flat 2, Kieran grove, North Melissatown, RM4 2SZ",RM4 2SZ,+44(0)808 157 0312,+44151 496 0103,(0118) 496 0036,yes,0,30892.844886290357
53,YL,2,"75 Daniel forge, Wrightport, S61 4YD",S61 4YD,(0117) 4960707,+44(0)1164960169,+44(0)121 496 0623,yes,0,68352.23410468247
54,UQ,1,"874 Bradley shoals, Evansshire, E9G 4WX",E9G 4WX,+44121 496 0033,01914960659,+44(0)306 999 0185,yes,0,30019.1239452383
55,TW,2,"Studio 7, Carole spring, New Iain, NN8 7GT",NN8 7GT,(0121)4960799,+441632960218,0121 4960529,yes,0,710.0
56,NZ,0,"Studio 57y, Brandon course, South Brandonberg, W9K 8HD",W9K 8HD,+44113 4960241,(01632) 960441,020 7946 0219,no,1,31741.932868969125
57,NF,2,"10 Rosie branch, Glenshire, DH2 4PU",DH2 4PU,+441144960323,0161 4960328,0115 4960746,no,0,29936.19105779023
58,SN,2,"1 Roger passage, Andersonmouth, EC00 3TA",EC00 3TA,(0306) 9990415,(0131) 496 0203,+441154960770,yes,0,31804.97472284939
59,HJ,2,"Flat 92, Guy creek, Andrewhaven, CR0 4HD",CR0 4HD,+44(0)9098790027,0808 157 0693,0117 4960508,no,0,710.0
60,NH,0,"294 Edward ways, Littlebury, S1F 6YR",S1F 6YR,+44(0)151 496 0184,0292018428,(0191) 496 0990,yes,0,710.0
61,EC,2,"89 Tina plain, Terryberg, L4T 2AL",L4T 2AL,+44909 8790329,+441154960336,(0141) 4960939,no,1,710.0
62,EL,0,"622 Graham fall, New Grahamland, W7K 5GF",W7K 5GF,(0121)4960268,(01632) 960363,(0131) 4960397,yes,0,30448.129609009873
63,VI,0,"979 Duffy trail, Howardburgh, S6 3EZ",S6 3EZ,(0121)4960254,(0116)4960984,(0131) 496 0132,yes,0,268114.8472416344
64,HK,1,"89 Carolyn islands, Smithbury, TQ45 2TX",TQ45 2TX,(0121) 496 0832,+44(0)151 4960029,+44(0)115 496 0155,yes,0,710.0
65,AJ,1,"58 King overpass, Crossfurt, MK2 4GS",MK2 4GS,+44(0)118 496 0587,0151 496 0092,0141 4960348,yes,0,30836.761272038922
66,HR,0,"Studio 89, Glen trace, North Fiona, UB01 3GX",UB01 3GX,+44(0)289018412,+44117 496 0077,+441914960735,no,0,212547.89124442692
67,LF,1,"Flat 2, Amanda lights, West Jake, HS9P 1WX",HS9P 1WX,+4428 9018591,+44141 496 0864,(0191)4960291,no,0,261395.17793119905
68,CL,2,"Flat 1, Cooper orchard, West Jane, TA3B 1JQ",TA3B 1JQ,(0161)4960943,0114 496 0316,0116 496 0201,no,0,237257.61102467618
69,VT,2,"Studio 9, Pritchard crossing, Leighhaven, B9J 1FP",B9J 1FP,+44113 496 0348,(028) 9018 0570,(01632) 960426,no,1,271619.7121347596
70,RQ,0,"86 Anderson lodge, Nathanborough, E0 9JD",E0 9JD,+44808 157 0343,0116 4960527,+4428 9018370,no,0,710.0
71,CD,1,"Studio 46s, Hannah mountain, North Cherylview, S6C 5AB",S6C 5AB,(0161) 496 0963,+44(0)1174960734,+44(0)1134960307,no,0,118889.35384179288
72,TA,2,"737 Rogers port, Brianchester, E8A 6GT",E8A 6GT,0113 496 0055,020 74960264,+44(0)3069990460,yes,0,710.0
73,BQ,1,"Flat 94, Davies curve, Dannybury, L8 5XY",L8 5XY,(0118) 4960961,01314960617,+44(0)8081570759,yes,0,32375.137603817235
74,IE,0,"Flat 8, Green fields, Lake Sarah, AL5 4UJ",AL5 4UJ,+44141 496 0121,0191 4960358,+44(0)191 496 0095,no,0,710.0
75,AR,0,"Flat 60, Baxter port, Olivermouth, LU19 0YE",LU19 0YE,(0191) 4960959,(0141) 4960463,+4428 9018178,yes,0,32758.535399147957
76,ED,2,"579 Chelsea hollow, Jasonhaven, N31 1GZ",N31 1GZ,(0118)4960161,+441414960618,09098790873,yes,0,31095.046073627444
77,AV,2,"9 Maurice estate, Porterton, KY9 9NS",KY9 9NS,(028) 9018553,+441184960332,+44(0)121 4960884,no,0,28998.6271978542
78,FH,1,"Studio 1, Hudson cliff, New Abigail, TW5 2XB",TW5 2XB,0141 4960868,+441914960294,+44(0)909 8790722,no,0,122406.04763543457
79,RR,0,"4 Harris garden, Frankton, S6C 1UG",S6C 1UG,(0113) 4960125,0141 496 0968,(0116)4960146,no,0,264116.58111217996
80,AJ,2,"70 Katie oval, West Ashleigh, L87 1SD",L87 1SD,01164960791,02074960607,01314960306,no,1,215351.35631901526
81,OP,1,"0 Stewart crescent, Paulaport, LU2V 3EU",LU2V 3EU,0118 4960075,+44(0)113 4960744,+4428 9018 0724,no,0,32748.82424403537
82,YJ,2,"194 Stewart crescent, New Ashleigh, DE5B 2AG",DE5B 2AG,+44(0)1914960198,+44(0)116 496 0492,+441632 960102,no,0,30919.705108687045
83,LJ,1,"0 Kathryn manor, New Jemmaport, BL3 3WS",BL3 3WS,0191 4960924,(0909)8790414,(0121) 4960759,yes,0,710.0
84,BS,0,"53 Smith stream, Kerryburgh, L16 3EL",L16 3EL,01514960329,(0118)4960114,01154960460,yes,0,33045.8767565665
85,AL,2,"54 Harris ville, Kathrynburgh, PH9 6ET",PH9 6ET,+44(0)113 496 0464,03069990745,+44(0)909 879 0453,no,0,6744.205290681364
86,YB,2,"6 Wheeler falls, Wrightfurt, L7 6YZ",L7 6YZ,(0161) 4960113,+44808 157 0929,03069990659,no,0,29691.588770506627
87,CE,2,"Flat 8, Frederick knoll, Christianview, W8B 9PB",W8B 9PB,0115 4960305,+44(0)1514960291,(0141) 4960693,yes,0,710.0
88,VA,1,"6 Dixon hollow, East Barry, B7J 0PS",B7J 0PS,(0909)8790743,(0191)4960545,(0191) 496 0679,yes,1,32004.87894562724
89,SP,0,"8 Smith cliffs, Thomasview, BB98 2TX",BB98 2TX,0141 4960849,08081570023,+44(0)289018603,yes,0,37433.85380024269
90,HB,0,"94 Rosemary drive, Willismouth, TS02 4SF",TS02 4SF,0808 1570414,(0118) 496 0676,(0118) 4960576,no,0,36005.29504468055
91,KJ,2,"23 Natasha mount, Hartleyfort, W4 7WF",W4 7WF,+44(0)808 157 0738,(0114) 496 0263,(0117) 496 0147,yes,0,3699.678568563698
92,EV,0,"Flat 46a, Steven greens, Jacksonfurt, L0 7EX",L0 7EX,+44(0)1144960453,+441214960409,(0121) 496 0411,yes,0,710.0
93,PI,2,"23 Allan park, Clareview, NP51 9JT",NP51 9JT,+44(0)1164960397,+441632 960649,+44(0)1632960615,no,0,31520.139372267087
94,RK,2,"Studio 93, Turner springs, North Kellyton, G33 5LT",G33 5LT,(0117) 4960245,+441174960445,0289018711,no,0,32228.570547294526
95,ZE,1,"Flat 03y, Steele landing, Robertschester, PL19 1WD",PL19 1WD,+44(0)1514960872,+44(0)191 496 0049,+44113 496 0651,yes,0,122527.72852154599
96,UP,1,"Flat 0, Alexandra junction, South Emily, N70 5BN",N70 5BN,+44(0)2074960225,(0113) 4960430,0141 4960357,no,0,103381.86309317507
97,QQ,0,"Flat 4, Allan walks, Harrietton, CW7 7WR",CW7 7WR,0191 4960320,+44(0)191 4960814,028 9018992,yes,0,52769.33841850784
98,NA,1,"Flat 57K, Aaron fall, West Donaldville, M9 5SY",M9 5SY,+44(0)29 2018876,(0117)4960557,(0116) 4960270,yes,0,87290.83890346756
99,QM,0,"82 Pearson tunnel, North Leah, W2 8HU",W2 8HU,(0113)4960783,01214960223,+441154960839,no,0,31214.621343223065
100,KF,2,"648 Smith underpass, North Mohamedmouth, B84 5UU",B84 5UU,(029) 2018357,+44292018484,0114 4960707,yes,0,35275.40995518829
101,SZ,2,"Flat 34, Kate village, North Brianstad, GY7Y 3UT",GY7Y 3UT,+44808 157 0846,+44191 4960256,(0191) 496 0481,no,0,710.0
102,ZP,1,"Flat 1, Luke center, North Rhys, MK8 1BX",MK8 1BX,(0191)4960219,+44(0)161 496 0255,+44114 4960255,yes,0,710.0
103,OF,1,"97 Hannah parkway, Danielborough, CV38 7GG",CV38 7GG,+448081570455,0113 496 0361,0306 9990139,yes,0,95453.01433680853
104,FC,0,"150 Evans way, Stephanieside, B9 2TN",B9 2TN,0115 496 0780,+44131 4960026,+44(0)3069990771,no,0,37915.74772579665
105,XA,2,"4 Taylor islands, East Kathryn, W0H 7TX",W0H 7TX,+44(0)28 9018740,028 9018819,+44306 999 0338,no,0,710.0
106,DB,2,"6 Tina crossroad, Annettechester, SY0 4NX",SY0 4NX,+44(0)28 9018 0937,0113 496 0696,0909 879 0869,yes,1,31889.571869479518
107,KG,2,"60 Thomas ferry, Lake Annfort, IM4R 7PP",IM4R 7PP,(0117) 496 0124,(0113)4960856,0114 4960025,no,0,32128.273087777685
108,VT,0,"063 Gregory gateway, South Keithfurt, S7 5SR",S7 5SR,01632 960 328,+44115 4960483,+44(0)1632960694,yes,0,136152.92848993413
109,IC,0,"331 Morris orchard, Elizabethburgh, B3S 4AT",B3S 4AT,(028) 9018 0596,0909 879 0713,08081570979,no,0,710.0
110,LX,0,"Studio 91f, Johnson view, Nicholsonshire, E4J 6RP",E4J 6RP,(0141) 496 0701,0113 496 0157,+44161 496 0815,yes,0,32148.66453274931
111,WV,1,"Studio 56, Williams garden, South Stuart, HS9V 2YL",HS9V 2YL,(0808) 157 0995,+44306 999 0822,0141 496 0957,yes,1,710.0
112,BM,1,"9 Thorpe common, North Jessica, HP3H 3DY",HP3H 3DY,+4428 9018351,+44292018880,01632960456,yes,1,103070.86403438437
113,SY,2,"705 Stephens loaf, Lawrenceton, NP9 5UD",NP9 5UD,0121 4960316,+44191 4960156,+44113 4960481,no,0,31127.95921314442
114,PT,1,"679 Barton spring, Bellmouth, LA6B 0SR",LA6B 0SR,028 9018890,+44(0)141 4960875,+44161 4960803,yes,0,710.0
115,WX,1,"Studio 23, Hunt ports, East Billyborough, BH46 0DY",BH46 0DY,+44(0)141 4960015,+44118 496 0451,0117 496 0107,no,0,206895.65055606075
116,LD,1,"3 Davis terrace, South Pamela, E3B 8PY",E3B 8PY,+44292018444,+44(0)1314960836,+44(0)28 9018 0281,yes,0,710.0
117,MY,2,"Flat 4, Lane center, Youngton, ZE1 1HA",ZE1 1HA,+44(0)20 7496 0663,+44(0)29 2018477,+44(0)8081570701,no,0,56051.05119521222
118,ZZ,2,"Studio 97, Gerard streets, Robinton, PO55 4GY",PO55 4GY,+4428 9018 0768,(0306) 9990512,(0116)4960382,no,0,31468.641744966473
119,KO,0,"Studio 24, Newman fall, South Declan, S1 9PB",S1 9PB,(0141)4960440,(0116) 496 0782,(0161) 4960794,yes,0,88381.79357080405
120,IP,0,"788 Julia unions, Marcusville, W0 1YL",W0 1YL,+44(0)289018699,+44191 4960863,(0306) 999 0722,no,0,710.0
121,CF,1,"Studio 07, Carl parkway, North Andrew, CO8Y 9BQ",CO8Y 9BQ,(029) 2018 0047,0161 496 0671,01144960414,yes,0,710.0
122,YT,2,"87 Duncan lights, Port Rogermouth, IM75 1AL",IM75 1AL,+44(0)1414960907,+44(0)161 496 0664,+44141 4960775,yes,0,710.0
123,BH,0,"Flat 32L, Albert cape, Hoopermouth, N0 9FG",N0 9FG,+441314960167,(028) 9018 0625,+44(0)808 1570653,yes,1,183557.8975204461
124,JQ,1,"64 Kirk lights, Danielville, M8B 1TY",M8B 1TY,+44151 496 0170,0808 1570201,+44(0)3069990379,yes,0,32937.29920122421
125,WI,0,"7 Robert pines, New Barbaramouth, W3 3LW",W3 3LW,+44(0)1164960859,+441632 960483,(029)2018019,no,0,29104.97175631082
126,ZB,0,"459 Bishop island, Akhtarfort, M8C 2YY",M8C 2YY,(0131) 496 0622,+44(0)909 8790046,01614960192,no,0,710.0
127,HV,2,"7 Geraldine streets, Port Trevor, W22 3UL",W22 3UL,+44116 4960956,01154960905,+44(0)114 4960656,yes,0,266253.7745506082
128,ZJ,1,"91 Ashley centers, Malcolmmouth, W1 0AX",W1 0AX,0191 4960469,+44(0)161 496 0770,(0117) 4960352,no,0,62968.81058484531
129,JG,1,"8 John extensions, Ryanchester, OX2W 4FX",OX2W 4FX,0114 4960537,+44808 1570745,+441174960337,no,0,31240.638397173305
130,EJ,2,"899 Benjamin drives, Palmershire, EC9A 7LA",EC9A 7LA,(0191)4960825,+44191 496 0511,+44(0)161 496 0478,no,0,200209.25328588512
131,WS,1,"Studio 3, Jarvis walks, West Rosemaryfurt, E31 3ZD",E31 3ZD,(0909)8790782,020 7946 0712,+441184960088,no,0,710.0
132,YC,2,"25 Walker shoal, East Mathew, CA8 5AY",CA8 5AY,029 2018070,(029) 2018847,028 9018 0320,yes,0,30209.320036902125
133,SD,0,"Flat 85s, Stephen junction, Edwardston, GL5H 9BY",GL5H 9BY,+441154960138,+44(0)131 496 0755,+4429 2018903,yes,0,710.0
134,YR,0,"39 Bryant crossroad, East Suzanne, SM30 8QN",SM30 8QN,+44(0)1632 960142,01164960265,+44(0)1632960332,no,0,710.0
135,MJ,0,"Flat 32, Newton landing, Douglasfurt, S0F 7BW",S0F 7BW,+44(0)909 879 0303,+441614960475,+441214960409,no,0,29943.435210913027
136,XK,0,"86 Jay road, Lewisstad, W45 3DS",W45 3DS,(0131) 496 0809,(0808) 1570210,+44(0)1914960587,no,0,30189.284455646088
137,AO,1,"047 Frances walks, Mohammedfort, S42 4TY",S42 4TY,+441632 960 067,+44(0)909 8790661,+441414960169,no,0,30733.27834723718
138,ST,1,"84 Clive grove, West Julie, NN6 1TN",NN6 1TN,0115 4960560,(0116)4960675,+441184960425,no,0,18596.38556512108
139,BO,1,"Studio 95h, Sean fall, Schofieldport, N3T 2NG",N3T 2NG,08081570109,0116 496 0892,+448081570537,no,0,119021.01781807299
140,EH,2,"9 John key, Port Andrea, PH01 9AP",PH01 9AP,+44114 4960905,(0131)4960627,+44(0)117 4960224,no,0,710.0
141,IQ,0,"Studio 6, Fiona hills, South Janetmouth, G6J 7YB",G6J 7YB,+441632 960548,+4420 74960731,(0118)4960560,no,0,710.0
142,DD,1,"0 Whitehouse glens, Daviesside, SM6X 9UN",SM6X 9UN,+44114 4960701,(0115)4960529,+44151 496 0735,yes,0,710.0
143,XY,0,"Flat 2, Tom creek, Mohamedport, N88 8GH",N88 8GH,+4428 9018 0756,+44(0)141 4960672,+44(0)808 1570819,no,0,207121.31296528684
144,OP,2,"3 Joel underpass, Caroleburgh, N3E 1TS",N3E 1TS,+441632 960 587,0141 4960855,+44(0)2074960746,no,0,710.0
145,RM,1,"Flat 52X, Angela greens, South Terry, CB39 8YN",CB39 8YN,+44(0)28 9018400,+44(0)161 4960809,+44(0)161 4960525,no,1,32965.343154143855
146,RF,0,"427 Julia square, East Justin, G5S 4NU",G5S 4NU,02074960965,(01632) 960 253,01314960201,no,0,710.0
147,NS,1,"32 Dennis walks, Lake Aimee, NR79 9GF",NR79 9GF,(0121) 496 0062,+44(0)808 157 0128,+44(0)1144960491,no,0,185564.27491643326
148,FH,2,"Studio 6, Olivia road, Robinsonside, S99 9BX",S99 9BX,+44(0)1632960293,+44(0)289018088,0121 4960511,no,0,31063.291198150535
149,VE,1,"Flat 64D, Perkins brooks, Ronaldport, N80 2FX",N80 2FX,+44808 1570331,(0151)4960401,(0131)4960481,no,0,32305.935649643725
150,MG,0,"7 Richardson lakes, Lake Cliffordburgh, G14 4ZE",G14 4ZE,(020) 74960206,+44306 999 0270,+44(0)1632 960595,no,0,12527.396231099174
151,TC,0,"44 Timothy pass, Tomburgh, B73 6YQ",B73 6YQ,(0115)4960340,+44289018305,+44(0)114 496 0996,no,0,236163.39403157053
152,IP,0,"Flat 28u, Houghton forest, Nicoleville, LD2 8ZG",LD2 8ZG,(0117)4960722,+44(0)1614960012,(0118) 496 0608,yes,0,176585.54912405284
153,FH,0,"Flat 08W, Jasmine walks, Andrewbury, GL89 2NZ",GL89 2NZ,0121 496 0475,0114 4960591,+44117 496 0859,yes,0,31667.225617023807
154,NL,1,"1 Holly point, Lake Stanleyfort, L28 3JA",L28 3JA,0191 4960703,+44(0)1632960668,03069990494,yes,0,710.0
155,CW,1,"788 Byrne drive, North Hollieview, NP4E 6ZG",NP4E 6ZG,01314960796,+44(0)1914960408,+44(0)117 496 0107,yes,0,710.0
156,VL,0,"Flat 62, Jackson ways, Jillstad, LL2 3UH",LL2 3UH,0909 8790049,(0115) 496 0334,+44(0)29 2018579,no,0,165240.25921447482
157,DJ,2,"Studio 9, Robertson stream, South Jodiehaven, W6S 9RU",W6S 9RU,+44306 999 0870,0151 496 0010,+441184960315,yes,0,32442.24376288292
158,DV,0,"Studio 57, Grant branch, North Anna, KW5 6ZT",KW5 6ZT,(0116) 496 0037,+44131 496 0168,+44(0)292018053,no,0,710.0
159,LW,0,"51 Williams estates, Lewismouth, CB5B 4WX",CB5B 4WX,+442074960825,0909 8790058,(0118) 496 0991,no,1,75340.24646954612
160,AA,2,"08 Evans court, North Dennis, G6H 2DT",G6H 2DT,(0118) 496 0135,+44116 496 0678,+44(0)151 496 0475,no,0,33349.38205634719
161,TZ,0,"Studio 87, Thomas drive, Clarkbury, B82 3WA",B82 3WA,0131 496 0621,(0116)4960563,(0121)4960848,no,0,30990.586384261893
162,DF,0,"59 Davidson dale, New Shannontown, DH1B 4ZW",DH1B 4ZW,0116 496 0755,+44(0)191 4960115,(0113)4960879,no,0,32225.008036748983
163,NV,2,"Studio 4, Garner key, Hannahmouth, DH1V 8BS",DH1V 8BS,+44(0)29 2018 0835,0114 4960453,01614960542,no,1,28705.76306418501
164,OM,0,"Flat 7, Charlene hollow, Fletcherport, SE8 2SS",SE8 2SS,+441134960547,+44(0)20 74960913,(01632) 960275,no,0,120476.86788193503
165,CS,0,"6 Hughes shore, Payneside, IM1 7ZL",IM1 7ZL,028 9018 0526,02074960716,0141 4960108,yes,0,184573.08580732
166,IA,2,"5 Cheryl motorway, Connorside, S23 6PU",S23 6PU,+44117 496 0133,(0191) 496 0838,+44161 4960668,yes,0,76561.909124001
167,QY,1,"3 Zoe street, West Allan, S7T 2DB",S7T 2DB,+44(0)1164960865,+44191 4960745,+44121 496 0907,yes,0,31453.06687572328
168,VH,1,"Flat 20, White pine, Johnsonstad, CT7M 0EA",CT7M 0EA,+44(0)1632960542,01632 960 699,0114 496 0185,yes,0,28933.010698124002
169,EG,1,"79 Fiona station, Flemingberg, JE95 4BT",JE95 4BT,+441632960022,(0909)8790986,01614960487,no,0,32450.642262737856
170,HH,0,"Flat 6, Sheppard points, Lake Molly, LA9 3TJ",LA9 3TJ,+44118 496 0053,+44808 1570532,(0191) 496 0655,yes,1,135145.56429663152
171,ZV,0,"Studio 6, Shaw overpass, Sambury, S35 0HJ",S35 0HJ,+44(0)1214960549,09098790131,+44(0)3069990824,yes,0,30933.81431524703
172,BL,1,"7 Williams rapids, New Diane, HS8H 2FP",HS8H 2FP,(0909) 879 0094,01174960351,+44(0)1174960547,yes,0,710.0
173,LT,2,"4 Richardson ports, Nixonton, S16 7PG",S16 7PG,+44(0)116 4960313,+44(0)121 496 0465,+443069990065,no,0,42538.34559830742
174,MK,0,"Flat 0, Wendy drive, New Clare, ZE9E 1YY",ZE9E 1YY,0131 496 0137,+44(0)114 4960889,0289018273,yes,0,30399.569047718407
175,SR,2,"Studio 75F, Wayne trafficway, Chamberlainshire, S4 2RD",S4 2RD,+441632 960 622,(0117)4960670,(0113)4960362,yes,0,710.0
176,GO,0,"Studio 70, Holden mission, North Janetburgh, ST8 6NP",ST8 6NP,(0115)4960033,+44292018958,+44(0)113 496 0141,no,0,710.0
